Time,mean,climatology,anomaly
1025740800,28.035000,28.753304,-0.718304
1025827200,NaN,28.790690,NaN
1025913600,NaN,28.828076,NaN
1026000000,28.734999,28.865461,-0.130462
1026086400,NaN,28.902847,NaN
1026172800,NaN,28.940233,NaN
1026259200,NaN,28.977618,NaN
1026345600,NaN,29.015004,NaN
1026432000,NaN,29.052390,NaN
1026518400,NaN,29.089775,NaN
1026604800,NaN,29.127161,NaN
1026691200,29.094999,29.164547,-0.069547
1026777600,NaN,29.178926,NaN
1026864000,NaN,29.193306,NaN
1026950400,29.269999,29.207686,0.062313
1027036800,29.340000,29.222066,0.117934
1027123200,29.635000,29.236446,0.398555
1027209600,29.365000,29.250825,0.114174
1027296000,NaN,29.265205,NaN
1027382400,30.779999,29.279585,1.500414
1027468800,NaN,29.293965,NaN
1027555200,NaN,29.308345,NaN
1027641600,29.459999,29.322724,0.137275
1027728000,30.115000,29.337104,0.777896
1027814400,29.814999,29.351484,0.463515
1027900800,29.910000,29.365864,0.544136
1028678400,NaN,29.495282,NaN
1028764800,NaN,29.509662,NaN
1028851200,29.367500,29.524042,-0.156541
1028937600,NaN,29.538421,NaN
1029024000,29.334999,29.552801,-0.217802
1029110400,NaN,29.567181,NaN
1029196800,NaN,29.581561,NaN
1029283200,NaN,29.595941,NaN
1029369600,NaN,29.610320,NaN
1029456000,28.299999,29.590917,-1.290918
1029542400,28.959999,29.571514,-0.611515
1029628800,29.359999,29.552111,-0.192112
1029715200,NaN,29.532708,NaN
1029801600,NaN,29.513305,NaN
1029888000,29.054998,29.493902,-0.438903
1029974400,29.184999,29.474499,-0.289499
1030060800,29.480000,29.455095,0.024904
1030147200,29.654999,29.435692,0.219307
1030233600,29.900000,29.416289,0.483710
1030320000,30.125000,29.396886,0.728114
1030406400,NaN,29.377483,NaN
1030492800,NaN,29.358080,NaN
1030579200,NaN,29.338677,NaN
1030665600,NaN,29.319274,NaN
1030752000,NaN,29.299870,NaN
1030838400,29.695000,29.280467,0.414532
1030924800,NaN,29.261064,NaN
1031011200,29.295000,29.241661,0.053339
1031097600,NaN,29.222258,NaN
1031184000,NaN,29.202855,NaN
1031270400,NaN,29.183452,NaN
1031356800,NaN,29.164049,NaN
1031443200,29.384998,29.144645,0.240353
1031529600,NaN,29.125242,NaN
1031616000,NaN,29.105839,NaN
1031702400,NaN,29.086436,NaN
1031788800,28.574999,29.067033,-0.492034
1031875200,28.879999,29.047630,-0.167631
1031961600,28.754999,29.028227,-0.273227
1032048000,NaN,29.008823,NaN
1032134400,NaN,28.962492,NaN
1032220800,NaN,28.916160,NaN
1032307200,NaN,28.869829,NaN
1032393600,28.904999,28.823497,0.081502
1032480000,NaN,28.777165,NaN
1032566400,28.260000,28.730834,-0.470833
1032652800,28.650000,28.684502,-0.034502
1032739200,NaN,28.638170,NaN
1032825600,NaN,28.591839,NaN
1032912000,NaN,28.545507,NaN
1032998400,NaN,28.499175,NaN
1033084800,28.025000,28.452844,-0.427844
1033171200,28.115000,28.406512,-0.291512
1033257600,28.084999,28.360180,-0.275181
1033344000,27.930000,28.313849,-0.383848
1033430400,27.779999,28.267517,-0.487518
1033516800,NaN,28.221185,NaN
1033603200,NaN,28.174854,NaN
1033689600,NaN,28.128522,NaN
1033776000,NaN,28.082190,NaN
1033862400,27.432499,28.035859,-0.603360
1033948800,27.734999,27.989527,-0.254528
1034035200,NaN,27.943195,NaN
1034121600,27.635000,27.896864,-0.261864
1034208000,NaN,27.850532,NaN
1034294400,NaN,27.804200,NaN
1034380800,27.209999,27.757869,-0.547870
1034467200,27.805000,27.711537,0.093463
1034553600,NaN,27.665206,NaN
1034640000,NaN,27.618874,NaN
1034726400,27.150000,27.538613,-0.388613
1034812800,NaN,27.458352,NaN
1034899200,NaN,27.378091,NaN
1034985600,NaN,27.297829,NaN
1035072000,NaN,27.217568,NaN
1035158400,26.230000,27.137307,-0.907308
1035244800,26.885000,27.057046,-0.172046
1035331200,26.625000,26.976785,-0.351785
1035417600,26.574999,26.896524,-0.321525
1035504000,NaN,26.816263,NaN
1035590400,NaN,26.736002,NaN
1035676800,NaN,26.655741,NaN
1035763200,NaN,26.575480,NaN
1035849600,NaN,26.495219,NaN
1035936000,26.215000,26.414957,-0.199957
1036022400,26.459999,26.334696,0.125303
1036108800,NaN,26.254435,NaN
1036195200,NaN,26.174174,NaN
1036281600,NaN,26.093913,NaN
1036368000,NaN,26.013652,NaN
1036454400,NaN,25.933391,NaN
1036540800,26.410000,25.853130,0.556870
1036627200,26.119999,25.772869,0.347130
1036713600,NaN,25.692608,NaN
1036800000,NaN,25.612346,NaN
1036886400,NaN,25.532085,NaN
1036972800,26.285000,25.451824,0.833176
1037059200,NaN,25.371563,NaN
1037145600,NaN,25.291302,NaN
1037232000,NaN,25.211041,NaN
1037318400,25.230000,25.130780,0.099220
1037404800,NaN,25.058494,NaN
1037491200,NaN,24.986209,NaN
1037577600,NaN,24.913923,NaN
1037664000,NaN,24.841638,NaN
1037750400,NaN,24.769352,NaN
1037836800,24.730000,24.697067,0.032933
1037923200,24.635000,24.624781,0.010219
1038009600,23.914999,24.552496,-0.637497
1038096000,NaN,24.480210,NaN
1038182400,24.519999,24.407925,0.112074
1038268800,23.824999,24.335639,-0.510640
1038355200,NaN,24.263354,NaN
1038441600,NaN,24.191068,NaN
1038528000,NaN,24.118783,NaN
1038614400,NaN,24.046497,NaN
1038700800,22.809999,23.974212,-1.164212
1038787200,NaN,23.901926,NaN
1038873600,NaN,23.829641,NaN
1038960000,NaN,23.757355,NaN
1039046400,NaN,23.685069,NaN
1039132800,NaN,23.612784,NaN
1039219200,NaN,23.540498,NaN
1039305600,NaN,23.468213,NaN
1039392000,NaN,23.395927,NaN
1039478400,NaN,23.323642,NaN
1039564800,NaN,23.251356,NaN
1039651200,NaN,23.179071,NaN
1039737600,22.129999,23.106785,-0.976786
1039824000,NaN,23.034500,NaN
1039910400,22.459999,22.962214,-0.502215
1039996800,22.769999,22.915559,-0.145560
1040083200,NaN,22.868903,NaN
1040169600,22.439999,22.822247,-0.382249
1040256000,NaN,22.775592,NaN
1040342400,22.484999,22.728936,-0.243937
1040428800,NaN,22.682281,NaN
1040515200,21.535000,22.635625,-1.100625
1040601600,NaN,22.588969,NaN
1040688000,NaN,22.542314,NaN
1040774400,NaN,22.495658,NaN
1040860800,NaN,22.449002,NaN
1040947200,NaN,22.402347,NaN
1041033600,NaN,22.355691,NaN
1041120000,21.509998,22.309036,-0.799037
1041206400,NaN,22.262380,NaN
1041292800,NaN,22.215724,NaN
1041379200,21.430000,22.169069,-0.739068
1041465600,20.654999,22.122413,-1.467414
1041552000,20.555000,22.075757,-1.520757
1041638400,20.629999,22.029102,-1.399103
1041724800,NaN,21.982446,NaN
1041811200,NaN,21.935791,NaN
1041897600,NaN,21.889135,NaN
1041984000,20.064999,21.842479,-1.777481
1042070400,20.439999,21.795824,-1.355825
1042156800,NaN,21.749168,NaN
1042243200,NaN,21.702512,NaN
1042329600,NaN,21.655857,NaN
1042416000,NaN,21.609201,NaN
1042502400,20.139999,21.562546,-1.422546
1042588800,NaN,21.515890,NaN
1042675200,NaN,21.499209,NaN
1042761600,NaN,21.482528,NaN
1042848000,NaN,21.465846,NaN
1042934400,20.400000,21.449165,-1.049166
1043020800,20.350000,21.432484,-1.082484
1043107200,20.094999,21.415803,-1.320804
1043193600,NaN,21.399122,NaN
1043280000,NaN,21.382441,NaN
1043366400,NaN,21.365760,NaN
1043452800,NaN,21.349079,NaN
1043539200,NaN,21.332397,NaN
1043625600,NaN,21.315716,NaN
1043712000,NaN,21.299035,NaN
1043798400,NaN,21.282354,NaN
1043884800,NaN,21.265673,NaN
1043971200,NaN,21.248992,NaN
1044057600,20.234999,21.232311,-0.997312
1044144000,20.299999,21.215629,-0.915630
1044230400,NaN,21.198948,NaN
1044316800,19.910000,21.182267,-1.272267
1044403200,NaN,21.165586,NaN
1044489600,NaN,21.148905,NaN
1044576000,NaN,21.132224,NaN
1044662400,NaN,21.115543,NaN
1044748800,NaN,21.098861,NaN
1044835200,NaN,21.082180,NaN
1044921600,20.420000,21.065499,-0.645499
1045008000,NaN,21.048818,NaN
1045094400,NaN,21.032137,NaN
1045180800,NaN,21.015456,NaN
1045267200,NaN,20.998775,NaN
1045353600,NaN,21.011971,NaN
1045440000,NaN,21.025167,NaN
1045526400,19.619999,21.038363,-1.418364
1045612800,NaN,21.051559,NaN
1045699200,NaN,21.064755,NaN
1045785600,NaN,21.077951,NaN
1045872000,NaN,21.091147,NaN
1045958400,NaN,21.104343,NaN
1046044800,19.514999,21.117539,-1.602539
1046131200,NaN,21.130735,NaN
1046217600,NaN,21.143931,NaN
1046304000,NaN,21.157127,NaN
1046390400,NaN,21.170323,NaN
1046476800,NaN,21.183519,NaN
1046563200,NaN,21.196715,NaN
1046649600,NaN,21.209911,NaN
1046736000,NaN,21.223107,NaN
1046822400,NaN,21.236303,NaN
1046908800,NaN,21.249499,NaN
1046995200,NaN,21.262695,NaN
1047081600,NaN,21.275891,NaN
1047168000,NaN,21.289087,NaN
1047254400,NaN,21.302283,NaN
1047340800,NaN,21.315479,NaN
1047427200,NaN,21.328675,NaN
1047513600,NaN,21.341871,NaN
1047686400,NaN,21.368263,NaN
1047772800,NaN,21.405374,NaN
1047859200,NaN,21.442486,NaN
1047945600,NaN,21.479598,NaN
1048032000,NaN,21.516710,NaN
1048118400,21.939999,21.553822,0.386177
1048204800,21.334999,21.590934,-0.255935
1048291200,21.045000,21.628045,-0.583045
1048377600,20.910000,21.665157,-0.755157
1048464000,NaN,21.702269,NaN
1048550400,NaN,21.739381,NaN
1048636800,NaN,21.776493,NaN
1048723200,NaN,21.813605,NaN
1048809600,21.664999,21.850716,-0.185717
1048896000,NaN,21.887828,NaN
1048982400,20.535000,21.924940,-1.389940
1049068800,20.074999,21.962052,-1.887053
1049155200,NaN,21.999164,NaN
1049241600,NaN,22.036275,NaN
1049328000,NaN,22.073387,NaN
1049414400,20.417500,22.110499,-1.693000
1049500800,NaN,22.147611,NaN
1049587200,NaN,22.184723,NaN
1049673600,NaN,22.221835,NaN
1049760000,NaN,22.258946,NaN
1049846400,20.885000,22.296058,-1.411058
1049932800,NaN,22.333170,NaN
1050019200,NaN,22.370282,NaN
1050105600,NaN,22.407394,NaN
1050192000,20.770000,22.444505,-1.674505
1050278400,20.895000,22.481617,-1.586617
1050364800,21.209999,22.518729,-1.308730
1050451200,21.215000,22.601804,-1.386804
1050537600,21.189999,22.684879,-1.494881
1050624000,21.000000,22.767954,-1.767954
1050710400,NaN,22.851030,NaN
1050796800,21.389999,22.934105,-1.544105
1050883200,NaN,23.017180,NaN
1050969600,NaN,23.100255,NaN
1051056000,NaN,23.183330,NaN
1051142400,NaN,23.266405,NaN
1051228800,NaN,23.349480,NaN
1051315200,23.094999,23.432555,-0.337556
1051401600,22.850000,23.515630,-0.665630
1051488000,NaN,23.598706,NaN
1051574400,NaN,23.681781,NaN
1051660800,NaN,23.764856,NaN
1051747200,23.014999,23.847931,-0.832931
1051833600,NaN,23.931006,NaN
1051920000,NaN,24.014081,NaN
1052006400,NaN,24.097156,NaN
1052092800,24.260000,24.180231,0.079769
1052179200,24.170000,24.263306,-0.093306
1052265600,24.000000,24.346381,-0.346381
1052352000,23.462500,24.429457,-0.966957
1052438400,NaN,24.512532,NaN
1052524800,NaN,24.595607,NaN
1052611200,NaN,24.678682,NaN
1052697600,NaN,24.761757,NaN
1052784000,NaN,24.844832,NaN
1052870400,NaN,24.927907,NaN
1052956800,25.535000,25.010982,0.524017
1053043200,NaN,25.108789,NaN
1053129600,NaN,25.206595,NaN
1053216000,25.949999,25.304401,0.645598
1053302400,25.692499,25.402207,0.290292
1053388800,27.365000,25.500014,1.864986
1053475200,26.939999,25.597820,1.342179
1053561600,26.980000,25.695626,1.284373
1053648000,26.609999,25.793432,0.816566
1053734400,26.555000,25.891239,0.663762
1053820800,NaN,25.989045,NaN
1053907200,NaN,26.086851,NaN
1053993600,NaN,26.184657,NaN
1054080000,26.090000,26.282464,-0.192464
1054166400,NaN,26.380270,NaN
1054252800,NaN,26.478076,NaN
1054339200,26.719999,26.575883,0.144117
1054425600,NaN,26.673689,NaN
1054512000,26.299999,26.771495,-0.471496
1054598400,NaN,26.869301,NaN
1054684800,NaN,26.967108,NaN
1054771200,26.775000,27.064914,-0.289914
1054857600,NaN,27.162720,NaN
1054944000,26.880001,27.260526,-0.380525
1055030400,28.014999,27.358333,0.656667
1055116800,28.365000,27.456139,0.908861
1055203200,27.900000,27.553945,0.346055
1055289600,27.545000,27.651751,-0.106751
1055376000,NaN,27.749558,NaN
1055462400,NaN,27.847364,NaN
1055548800,NaN,27.945170,NaN
1055635200,NaN,28.042976,NaN
1055721600,NaN,28.080362,NaN
1055808000,NaN,28.117748,NaN
1055894400,27.969999,28.155133,-0.185134
1055980800,28.269999,28.192519,0.077479
1056067200,NaN,28.229905,NaN
1056153600,NaN,28.267290,NaN
1056240000,NaN,28.304676,NaN
1056326400,NaN,28.342062,NaN
1056412800,28.109999,28.379447,-0.269449
1056499200,28.795000,28.416833,0.378167
1056585600,28.705000,28.454219,0.250781
1056672000,NaN,28.491604,NaN
1056758400,NaN,28.528990,NaN
1056844800,28.865000,28.566376,0.298624
1056931200,28.582500,28.603761,-0.021261
1057017600,NaN,28.641147,NaN
1057104000,28.984999,28.678533,0.306466
1057190400,NaN,28.715918,NaN
1057276800,NaN,28.753304,NaN
1057363200,NaN,28.790690,NaN
1057449600,NaN,28.828076,NaN
1057536000,29.000000,28.865461,0.134539
1057622400,28.855000,28.902847,-0.047847
1057708800,28.855000,28.940233,-0.085233
1057795200,NaN,28.977618,NaN
1057881600,29.039999,29.015004,0.024995
1057968000,NaN,29.052390,NaN
1058054400,NaN,29.089775,NaN
1058140800,NaN,29.127161,NaN
1058227200,NaN,29.164547,NaN
1058313600,NaN,29.178926,NaN
1058400000,NaN,29.193306,NaN
1058486400,NaN,29.207686,NaN
1058572800,28.309999,29.222066,-0.912066
1058659200,28.514999,29.236446,-0.721446
1058745600,29.439999,29.250825,0.189173
1058832000,NaN,29.265205,NaN
1058918400,NaN,29.279585,NaN
1059004800,NaN,29.293965,NaN
1059091200,29.179998,29.308345,-0.128346
1059177600,28.459999,29.322724,-0.862725
1059264000,NaN,29.337104,NaN
1059350400,28.730000,29.351484,-0.621484
1059436800,28.869999,29.365864,-0.495865
1059523200,29.235001,29.380244,-0.145243
1059609600,NaN,29.394623,NaN
1059696000,NaN,29.409003,NaN
1059782400,NaN,29.423383,NaN
1059868800,29.750000,29.437763,0.312237
1059955200,30.014999,29.452143,0.562857
1060041600,29.122499,29.466522,-0.344023
1060128000,29.699999,29.480902,0.219097
1060214400,NaN,29.495282,NaN
1060300800,NaN,29.509662,NaN
1060387200,28.844999,29.524042,-0.679042
1060473600,NaN,29.538421,NaN
1060560000,NaN,29.552801,NaN
1060646400,NaN,29.567181,NaN
1060732800,29.195000,29.581561,-0.386561
1060819200,NaN,29.595941,NaN
1060905600,29.179998,29.610320,-0.430322
1060992000,NaN,29.590917,NaN
1061078400,NaN,29.571514,NaN
1061164800,NaN,29.552111,NaN
1061251200,29.244999,29.532708,-0.287709
1061337600,29.330000,29.513305,-0.183305
1061424000,29.424999,29.493902,-0.068902
1061510400,NaN,29.474499,NaN
1061596800,29.039999,29.455095,-0.415096
1061683200,29.514999,29.435692,0.079307
1061769600,29.174999,29.416289,-0.241290
1061856000,NaN,29.396886,NaN
1061942400,29.785000,29.377483,0.407517
1062028800,29.757500,29.358080,0.399420
1062115200,NaN,29.338677,NaN
1062201600,NaN,29.319274,NaN
1062288000,NaN,29.299870,NaN
1062374400,NaN,29.280467,NaN
1062460800,28.930000,29.261064,-0.331064
1062547200,NaN,29.241661,NaN
1062633600,NaN,29.222258,NaN
1062720000,NaN,29.202855,NaN
1062806400,NaN,29.183452,NaN
1062892800,29.090000,29.164049,-0.074048
1062979200,NaN,29.144645,NaN
1063065600,NaN,29.125242,NaN
1063152000,28.760000,29.105839,-0.345839
1063238400,29.057499,29.086436,-0.028937
1063324800,NaN,29.067033,NaN
1063411200,28.670000,29.047630,-0.377630
1063497600,29.049999,29.028227,0.021773
1063584000,NaN,29.008823,NaN
1063670400,NaN,28.962492,NaN
1063756800,NaN,28.916160,NaN
1063843200,NaN,28.869829,NaN
1063929600,NaN,28.823497,NaN
1064016000,NaN,28.777165,NaN
1064102400,NaN,28.730834,NaN
1064188800,NaN,28.684502,NaN
1064275200,NaN,28.638170,NaN
1064361600,NaN,28.591839,NaN
1064448000,27.564999,28.545507,-0.980508
1064534400,NaN,28.499175,NaN
1064620800,28.234999,28.452844,-0.217845
1064707200,28.449999,28.406512,0.043487
1064793600,28.434999,28.360180,0.074819
1064880000,NaN,28.313849,NaN
1064966400,NaN,28.267517,NaN
1065052800,NaN,28.221185,NaN
1065139200,26.639999,28.174854,-1.534854
1065225600,26.920000,28.128522,-1.208522
1065312000,NaN,28.082190,NaN
1065398400,27.059999,28.035859,-0.975859
1065484800,NaN,27.989527,NaN
1065571200,NaN,27.943195,NaN
1065657600,27.080000,27.896864,-0.816864
1065744000,NaN,27.850532,NaN
1065830400,26.744999,27.804200,-1.059202
1065916800,26.699999,27.757869,-1.057870
1066003200,26.689999,27.711537,-1.021539
1066089600,26.639999,27.665206,-1.025206
1066176000,NaN,27.618874,NaN
1066262400,NaN,27.538613,NaN
1066348800,NaN,27.458352,NaN
1066435200,NaN,27.378091,NaN
1066521600,NaN,27.297829,NaN
1066608000,26.574999,27.217568,-0.642570
1066694400,NaN,27.137307,NaN
1066780800,26.510000,27.057046,-0.547046
1066867200,26.635000,26.976785,-0.341785
1066953600,26.209999,26.896524,-0.686525
1067040000,NaN,26.816263,NaN
1067126400,NaN,26.736002,NaN
1067212800,NaN,26.655741,NaN
1067299200,NaN,26.575480,NaN
1067385600,26.014999,26.495219,-0.480219
1067472000,NaN,26.414957,NaN
1067558400,26.650000,26.334696,0.315303
1067644800,26.174999,26.254435,-0.079436
1067731200,26.590000,26.174174,0.415826
1067817600,NaN,26.093913,NaN
1067904000,NaN,26.013652,NaN
1067990400,26.730000,25.933391,0.796609
1068076800,NaN,25.853130,NaN
1068163200,NaN,25.772869,NaN
1068249600,NaN,25.692608,NaN
1068336000,26.484999,25.612346,0.872652
1068422400,NaN,25.532085,NaN
1068508800,26.490000,25.451824,1.038176
1068595200,26.004999,25.371563,0.633436
1068681600,25.625000,25.291302,0.333698
1068768000,26.305000,25.211041,1.093959
1068854400,NaN,25.130780,NaN
1068940800,NaN,25.058494,NaN
1069027200,NaN,24.986209,NaN
1069113600,NaN,24.913923,NaN
1069200000,25.269999,24.841638,0.428361
1069286400,24.934999,24.769352,0.165647
1069372800,24.910000,24.697067,0.212933
1069459200,NaN,24.624781,NaN
1069545600,NaN,24.552496,NaN
1069632000,NaN,24.480210,NaN
1069718400,23.865000,24.407925,-0.542925
1069804800,NaN,24.335639,NaN
1069891200,NaN,24.263354,NaN
1069977600,NaN,24.191068,NaN
1070064000,24.064999,24.118783,-0.053784
1070150400,NaN,24.046497,NaN
1070236800,NaN,23.974212,NaN
1070323200,22.914999,23.901926,-0.986927
1070409600,NaN,23.829641,NaN
1070496000,NaN,23.757355,NaN
1070582400,23.990000,23.685069,0.304930
1070668800,NaN,23.612784,NaN
1070755200,NaN,23.540498,NaN
1070841600,NaN,23.468213,NaN
1070928000,23.102501,23.395927,-0.293427
1071014400,NaN,23.323642,NaN
1071100800,22.830000,23.251356,-0.421356
1071187200,NaN,23.179071,NaN
1071273600,NaN,23.106785,NaN
1071360000,NaN,23.034500,NaN
1071446400,22.594999,22.962214,-0.367215
1071532800,NaN,22.915559,NaN
1071619200,22.504999,22.868903,-0.363904
1071705600,22.219999,22.822247,-0.602248
1071792000,21.809999,22.775592,-0.965592
1071878400,21.984999,22.728936,-0.743937
1071964800,21.875000,22.682281,-0.807281
1072051200,NaN,22.635625,NaN
1072137600,NaN,22.588969,NaN
1072224000,NaN,22.542314,NaN
1072310400,NaN,22.495658,NaN
1072396800,NaN,22.449002,NaN
1072483200,21.502499,22.402347,-0.899848
1072569600,NaN,22.355691,NaN
1072656000,NaN,22.309036,NaN
1072742400,21.115000,22.262380,-1.147380
1072828800,NaN,22.215724,NaN
1072915200,21.570000,22.169069,-0.599069
1073001600,NaN,22.122413,NaN
1073088000,NaN,22.075757,NaN
1073174400,NaN,22.029102,NaN
1073260800,NaN,21.982446,NaN
1073347200,NaN,21.935791,NaN
1073433600,NaN,21.889135,NaN
1073520000,NaN,21.842479,NaN
1073606400,NaN,21.795824,NaN
1073692800,NaN,21.749168,NaN
1073779200,NaN,21.702512,NaN
1073865600,NaN,21.655857,NaN
1073952000,21.395000,21.609201,-0.214201
1074038400,NaN,21.562546,NaN
1074124800,NaN,21.515890,NaN
1074211200,NaN,21.499209,NaN
1074297600,NaN,21.482528,NaN
1074384000,21.949999,21.465846,0.484152
1074470400,NaN,21.449165,NaN
1074556800,NaN,21.432484,NaN
1074643200,NaN,21.415803,NaN
1074729600,21.654999,21.399122,0.255877
1074816000,NaN,21.382441,NaN
1074902400,NaN,21.365760,NaN
1074988800,NaN,21.349079,NaN
1075075200,NaN,21.332397,NaN
1075161600,21.885000,21.315716,0.569284
1075248000,NaN,21.299035,NaN
1075334400,NaN,21.282354,NaN
1075420800,NaN,21.265673,NaN
1075507200,NaN,21.248992,NaN
1075593600,20.965000,21.232311,-0.267310
1075680000,21.535000,21.215629,0.319370
1075766400,21.209999,21.198948,0.011051
1075852800,NaN,21.182267,NaN
1075939200,NaN,21.165586,NaN
1076025600,NaN,21.148905,NaN
1076112000,20.730000,21.132224,-0.402224
1076198400,NaN,21.115543,NaN
1076284800,NaN,21.098861,NaN
1076371200,NaN,21.082180,NaN
1076457600,NaN,21.065499,NaN
1076544000,NaN,21.048818,NaN
1076630400,NaN,21.032137,NaN
1076716800,NaN,21.015456,NaN
1076803200,NaN,20.998775,NaN
1076889600,NaN,21.011971,NaN
1076976000,20.369999,21.025167,-0.655168
1077062400,20.522499,21.038363,-0.515864
1077148800,21.279999,21.051559,0.228440
1077235200,20.379999,21.064755,-0.684755
1077321600,NaN,21.077951,NaN
1077408000,20.895000,21.091147,-0.196146
1077494400,NaN,21.104343,NaN
1077580800,NaN,21.117539,NaN
1077667200,NaN,21.130735,NaN
1077753600,NaN,21.143931,NaN
1077840000,NaN,21.157127,NaN
1077926400,NaN,21.170323,NaN
1078012800,NaN,21.183519,NaN
1078099200,19.652500,21.196715,-1.544215
1078185600,NaN,21.209911,NaN
1078272000,NaN,21.223107,NaN
1078358400,20.889999,21.236303,-0.346303
1078444800,NaN,21.249499,NaN
1078531200,NaN,21.262695,NaN
1078617600,NaN,21.275891,NaN
1078704000,21.139999,21.289087,-0.149087
1078790400,NaN,21.302283,NaN
1078876800,20.654999,21.315479,-0.660480
1078963200,20.705000,21.328675,-0.623675
1079049600,NaN,21.341871,NaN
1079136000,NaN,21.355067,NaN
1079222400,NaN,21.368263,NaN
1079308800,NaN,21.405374,NaN
1079395200,NaN,21.442486,NaN
1079481600,21.170000,21.479598,-0.309598
1079568000,20.727499,21.516710,-0.789211
1079654400,21.574999,21.553822,0.021177
1079740800,21.740000,21.590934,0.149066
1079827200,21.504999,21.628045,-0.123046
1079913600,NaN,21.665157,NaN
1080000000,NaN,21.702269,NaN
1080086400,NaN,21.739381,NaN
1080172800,NaN,21.776493,NaN
1080259200,NaN,21.813605,NaN
1080345600,NaN,21.850716,NaN
1080432000,NaN,21.887828,NaN
1080518400,NaN,21.924940,NaN
1080604800,NaN,21.962052,NaN
1080691200,22.000000,21.999164,0.000836
1080777600,22.260000,22.036275,0.223725
1080864000,22.275000,22.073387,0.201612
1080950400,NaN,22.110499,NaN
1081036800,NaN,22.147611,NaN
1081123200,NaN,22.184723,NaN
1081209600,22.169998,22.221835,-0.051836
1081296000,NaN,22.258946,NaN
1081382400,NaN,22.296058,NaN
1081468800,NaN,22.333170,NaN
1081555200,23.250000,22.370282,0.879718
1081641600,NaN,22.407394,NaN
1081728000,NaN,22.444505,NaN
1081814400,22.160000,22.481617,-0.321617
1081900800,NaN,22.518729,NaN
1081987200,21.830000,22.601804,-0.771804
1082073600,NaN,22.684879,NaN
1082160000,22.105000,22.767954,-0.662955
1082246400,NaN,22.851030,NaN
1082332800,NaN,22.934105,NaN
1082419200,NaN,23.017180,NaN
1082505600,NaN,23.100255,NaN
1082592000,22.029999,23.183330,-1.153331
1082678400,NaN,23.266405,NaN
1082764800,NaN,23.349480,NaN
1082851200,NaN,23.432555,NaN
1082937600,NaN,23.515630,NaN
1083024000,23.459999,23.598706,-0.138706
1083110400,22.689999,23.681781,-0.991782
1083196800,NaN,23.764856,NaN
1083283200,NaN,23.847931,NaN
1083369600,NaN,23.931006,NaN
1083456000,NaN,24.014081,NaN
1083542400,23.215000,24.097156,-0.882156
1083628800,23.129999,24.180231,-1.050232
1083715200,NaN,24.263306,NaN
1083801600,NaN,24.346381,NaN
1083888000,NaN,24.429457,NaN
1083974400,NaN,24.512532,NaN
1084060800,23.414999,24.595607,-1.180608
1084147200,23.959999,24.678682,-0.718683
1084233600,NaN,24.761757,NaN
1084320000,NaN,24.844832,NaN
1084406400,24.064999,24.927907,-0.862909
1084492800,NaN,25.010982,NaN
1084579200,NaN,25.108789,NaN
1084665600,NaN,25.206595,NaN
1084752000,NaN,25.304401,NaN
1084838400,24.769999,25.402207,-0.632209
1084924800,25.025000,25.500014,-0.475014
1085011200,25.125000,25.597820,-0.472820
1085097600,NaN,25.695626,NaN
1085184000,NaN,25.793432,NaN
1085270400,NaN,25.891239,NaN
1085356800,25.494999,25.989045,-0.494046
1085443200,NaN,26.086851,NaN
1085529600,25.699999,26.184657,-0.484659
1085616000,NaN,26.282464,NaN
1085702400,26.289999,26.380270,-0.090271
1085788800,NaN,26.478076,NaN
1085875200,NaN,26.575883,NaN
1085961600,26.555000,26.673689,-0.118688
1086048000,NaN,26.771495,NaN
1086134400,NaN,26.869301,NaN
1086220800,26.984999,26.967108,0.017891
1086307200,27.224998,27.064914,0.160085
1086393600,27.160000,27.162720,-0.002720
1086480000,NaN,27.260526,NaN
1086566400,27.462498,27.358333,0.104165
1086652800,NaN,27.456139,NaN
1086739200,NaN,27.553945,NaN
1086825600,26.830000,27.651751,-0.821751
1086912000,27.154999,27.749558,-0.594559
1086998400,27.219999,27.847364,-0.627365
1087084800,27.404999,27.945170,-0.540171
1087171200,NaN,28.042976,NaN
1087257600,27.922501,28.080362,-0.157861
1087344000,NaN,28.117748,NaN
1087430400,NaN,28.155133,NaN
1087516800,28.029999,28.192519,-0.162520
1087603200,28.680000,28.229905,0.450096
1087689600,28.889999,28.267290,0.622709
1087776000,NaN,28.304676,NaN
1087862400,28.340000,28.342062,-0.002062
1087948800,NaN,28.379447,NaN
1088035200,NaN,28.416833,NaN
1088121600,NaN,28.454219,NaN
1088208000,NaN,28.491604,NaN
1088294400,NaN,28.528990,NaN
1088380800,NaN,28.566376,NaN
1088467200,NaN,28.603761,NaN
1088553600,NaN,28.641147,NaN
1088640000,NaN,28.678533,NaN
1088726400,28.234999,28.715918,-0.480920
1088812800,NaN,28.753304,NaN
1088899200,27.977499,28.790690,-0.813191
1088985600,28.937500,28.828076,0.109424
1089072000,28.869999,28.865461,0.004538
1089158400,28.052498,28.902847,-0.850349
1089244800,28.805000,28.940233,-0.135232
1089331200,29.154999,28.977618,0.177381
1089417600,NaN,29.015004,NaN
1089504000,NaN,29.052390,NaN
1089590400,28.160000,29.089775,-0.929775
1089676800,29.500000,29.127161,0.372839
1089763200,29.125000,29.164547,-0.039547
1089849600,28.837500,29.178926,-0.341427
1089936000,29.129999,29.193306,-0.063307
