Time,mean,climatology,anomaly
1025740800,NaN,0.058601,NaN
1025827200,NaN,0.058830,NaN
1025913600,NaN,0.059059,NaN
1026000000,0.038876,0.059287,-0.020411
1026086400,NaN,0.059516,NaN
1026172800,NaN,0.059744,NaN
1026259200,NaN,0.059973,NaN
1026345600,NaN,0.060202,NaN
1026432000,NaN,0.060430,NaN
1026518400,0.036221,0.060659,-0.024437
1026691200,0.053366,0.061116,-0.007750
1026777600,0.070527,0.061101,0.009426
1026864000,0.057001,0.061085,-0.004084
1026950400,NaN,0.061070,NaN
1027036800,NaN,0.061055,NaN
1027209600,NaN,0.061024,NaN
1027296000,0.096695,0.061009,0.035686
1027382400,0.094862,0.060993,0.033869
1027468800,NaN,0.060978,NaN
1027555200,NaN,0.060962,NaN
1027641600,NaN,0.060947,NaN
1027728000,NaN,0.060932,NaN
1027814400,NaN,0.060916,NaN
1027900800,NaN,0.060901,NaN
1028678400,NaN,0.060763,NaN
1028851200,0.067747,0.060732,0.007015
1028937600,NaN,0.060717,NaN
1029024000,NaN,0.060701,NaN
1029110400,NaN,0.060686,NaN
1029196800,NaN,0.060671,NaN
1029283200,0.041652,0.060655,-0.019003
1029456000,NaN,0.060926,NaN
1029542400,NaN,0.061213,NaN
1029628800,0.061983,0.061499,0.000483
1029715200,NaN,0.061786,NaN
1029888000,NaN,0.062359,NaN
1029974400,0.064052,0.062645,0.001407
1030060800,0.057093,0.062931,-0.005838
1030233600,0.037275,0.063504,-0.026230
1030320000,NaN,0.063791,NaN
1030406400,NaN,0.064077,NaN
1030492800,NaN,0.064364,NaN
1030579200,NaN,0.064650,NaN
1030665600,NaN,0.064937,NaN
1030752000,0.063580,0.065223,-0.001643
1030924800,NaN,0.065796,NaN
1031011200,0.081084,0.066082,0.015002
1031097600,NaN,0.066369,NaN
1031270400,NaN,0.066942,NaN
1031356800,NaN,0.067228,NaN
1031443200,0.091626,0.067515,0.024111
1031616000,NaN,0.068088,NaN
1031702400,NaN,0.068374,NaN
1031875200,NaN,0.068947,NaN
1031961600,NaN,0.069233,NaN
1032048000,0.047836,0.069520,-0.021684
1032134400,0.113472,0.069599,0.043873
1032220800,0.029976,0.069678,-0.039701
1032307200,0.120950,0.069756,0.051194
1032393600,NaN,0.069835,NaN
1032480000,NaN,0.069914,NaN
1032566400,NaN,0.069993,NaN
1032652800,NaN,0.070072,NaN
1032739200,NaN,0.070150,NaN
1032825600,0.056742,0.070229,-0.013488
1032912000,NaN,0.070308,NaN
1032998400,0.043644,0.070387,-0.026743
1033084800,0.084917,0.070466,0.014451
1033171200,0.055488,0.070545,-0.015056
1033257600,0.082820,0.070623,0.012197
1033344000,NaN,0.070702,NaN
1033430400,NaN,0.070781,NaN
1033516800,0.115637,0.070860,0.044777
1033603200,0.038852,0.070939,-0.032087
1033689600,0.098412,0.071018,0.027394
1033776000,0.027871,0.071096,-0.043225
1033862400,NaN,0.071175,NaN
1033948800,0.075403,0.071254,0.004149
1034035200,0.042844,0.071333,-0.028488
1034121600,0.069519,0.071412,-0.001893
1034208000,0.049675,0.071490,-0.021815
1034294400,0.054190,0.071569,-0.017380
1034380800,0.040044,0.071648,-0.031604
1034467200,NaN,0.071727,NaN
1034553600,NaN,0.071806,NaN
1034640000,NaN,0.071885,NaN
1034726400,NaN,0.071857,NaN
1034812800,NaN,0.071829,NaN
1034899200,0.063628,0.071802,-0.008174
1034985600,0.044009,0.071774,-0.027766
1035072000,NaN,0.071747,NaN
1035158400,0.066533,0.071719,-0.005186
1035244800,0.094235,0.071692,0.022543
1035331200,0.055882,0.071664,-0.015782
1035417600,0.021526,0.071637,-0.050111
1035504000,0.039705,0.071609,-0.031904
1035590400,0.040726,0.071582,-0.030856
1035676800,0.024906,0.071554,-0.046648
1035763200,0.041667,0.071526,-0.029860
1035849600,0.039070,0.071499,-0.032429
1035936000,0.056791,0.071471,-0.014681
1036022400,NaN,0.071444,NaN
1036108800,0.046058,0.071416,-0.025358
1036195200,0.053076,0.071389,-0.018313
1036281600,0.089783,0.071361,0.018422
1036368000,0.071374,0.071334,0.000041
1036454400,NaN,0.071306,NaN
1036540800,0.040729,0.071279,-0.030549
1036627200,0.074837,0.071251,0.003586
1036713600,NaN,0.071223,NaN
1036800000,0.044389,0.071196,-0.026806
1036886400,NaN,0.071168,NaN
1036972800,0.024692,0.071141,-0.046448
1037059200,0.043349,0.071113,-0.027765
1037145600,0.077459,0.071086,0.006373
1037232000,0.054000,0.071058,-0.017058
1037318400,0.036893,0.071031,-0.034138
1037404800,NaN,0.071469,NaN
1037491200,NaN,0.071907,NaN
1037577600,0.070658,0.072345,-0.001687
1037664000,NaN,0.072783,NaN
1037750400,0.052146,0.073221,-0.021076
1037836800,NaN,0.073659,NaN
1037923200,0.029282,0.074098,-0.044816
1038009600,0.052808,0.074536,-0.021728
1038096000,0.037854,0.074974,-0.037120
1038182400,NaN,0.075412,NaN
1038268800,NaN,0.075850,NaN
1038355200,0.063344,0.076288,-0.012944
1038441600,0.051198,0.076727,-0.025529
1038528000,0.046712,0.077165,-0.030453
1038614400,0.053698,0.077603,-0.023905
1038700800,0.025413,0.078041,-0.052628
1038787200,NaN,0.078479,NaN
1038873600,0.028619,0.078917,-0.050298
1038960000,0.101523,0.079355,0.022168
1039046400,0.056809,0.079794,-0.022985
1039132800,0.056617,0.080232,-0.023615
1039219200,NaN,0.080670,NaN
1039305600,0.099031,0.081108,0.017923
1039392000,NaN,0.081546,NaN
1039478400,0.099555,0.081984,0.017570
1039564800,NaN,0.082422,NaN
1039651200,0.073433,0.082861,-0.009428
1039737600,0.184515,0.083299,0.101217
1039824000,NaN,0.083737,NaN
1039910400,0.076283,0.084175,-0.007892
1039996800,0.080733,0.083959,-0.003226
1040083200,0.054636,0.083743,-0.029107
1040169600,0.132586,0.083527,0.049059
1040256000,0.064419,0.083310,-0.018892
1040342400,NaN,0.083094,NaN
1040428800,0.069204,0.082878,-0.013674
1040515200,0.069782,0.082662,-0.012880
1040601600,NaN,0.082446,NaN
1040688000,0.072265,0.082229,-0.009965
1040774400,NaN,0.082013,NaN
1040860800,0.077026,0.081797,-0.004771
1040947200,NaN,0.081581,NaN
1041033600,0.055330,0.081365,-0.026035
1041120000,NaN,0.081149,NaN
1041206400,NaN,0.080932,NaN
1041292800,NaN,0.080716,NaN
1041379200,NaN,0.080500,NaN
1041465600,0.061221,0.080284,-0.019063
1041552000,NaN,0.080068,NaN
1041638400,0.074717,0.079852,-0.005135
1041724800,0.078031,0.079635,-0.001605
1041811200,0.081746,0.079419,0.002327
1041897600,0.059282,0.079203,-0.019921
1041984000,0.055821,0.078987,-0.023166
1042070400,0.030107,0.078771,-0.048664
1042156800,NaN,0.078555,NaN
1042243200,0.026002,0.078338,-0.052337
1042329600,0.054675,0.078122,-0.023448
1042416000,NaN,0.077906,NaN
1042502400,NaN,0.077690,NaN
1042588800,0.057367,0.077474,-0.020107
1042675200,0.058350,0.077081,-0.018732
1042761600,NaN,0.076689,NaN
1042848000,NaN,0.076296,NaN
1042934400,0.088021,0.075904,0.012117
1043020800,0.063991,0.075511,-0.011521
1043107200,0.091427,0.075119,0.016308
1043193600,0.048334,0.074727,-0.026392
1043280000,NaN,0.074334,NaN
1043366400,NaN,0.073942,NaN
1043452800,0.092960,0.073549,0.019411
1043539200,0.082549,0.073157,0.009392
1043625600,0.073855,0.072764,0.001090
1043712000,NaN,0.072372,NaN
1043798400,NaN,0.071979,NaN
1043884800,0.113566,0.071587,0.041979
1043971200,0.062735,0.071195,-0.008460
1044057600,0.062453,0.070802,-0.008349
1044144000,0.057037,0.070410,-0.013373
1044230400,NaN,0.070017,NaN
1044316800,0.090897,0.069625,0.021272
1044403200,0.074779,0.069232,0.005547
1044489600,0.058993,0.068840,-0.009847
1044576000,0.066718,0.068448,-0.001729
1044662400,0.084120,0.068055,0.016065
1044748800,0.063986,0.067663,-0.003677
1044835200,0.049376,0.067270,-0.017894
1044921600,0.036220,0.066878,-0.030658
1045008000,0.064832,0.066485,-0.001653
1045094400,0.070858,0.066093,0.004765
1045180800,0.075872,0.065700,0.010172
1045267200,0.076933,0.065308,0.011625
1045353600,0.054498,0.065094,-0.010597
1045440000,NaN,0.064881,NaN
1045526400,NaN,0.064667,NaN
1045612800,0.063656,0.064454,-0.000798
1045699200,0.074181,0.064240,0.009941
1045785600,0.054578,0.064027,-0.009448
1045872000,0.064880,0.063813,0.001067
1045958400,NaN,0.063599,NaN
1046044800,NaN,0.063386,NaN
1046131200,NaN,0.063172,NaN
1046217600,0.043267,0.062959,-0.019692
1046304000,NaN,0.062745,NaN
1046390400,0.052823,0.062532,-0.009708
1046476800,NaN,0.062318,NaN
1046563200,0.060709,0.062104,-0.001395
1046649600,NaN,0.061891,NaN
1046736000,0.042793,0.061677,-0.018884
1046822400,0.040544,0.061464,-0.020919
1046908800,0.050300,0.061250,-0.010951
1046995200,0.053966,0.061037,-0.007070
1047081600,0.040884,0.060823,-0.019939
1047168000,0.042305,0.060610,-0.018304
1047254400,0.089416,0.060396,0.029020
1047340800,NaN,0.060182,NaN
1047427200,0.041761,0.059969,-0.018207
1047513600,NaN,0.059755,NaN
1047600000,NaN,0.059542,NaN
1047686400,NaN,0.059328,NaN
1047772800,NaN,0.059056,NaN
1047859200,NaN,0.058783,NaN
1047945600,NaN,0.058510,NaN
1048032000,0.095492,0.058238,0.037254
1048118400,0.076136,0.057965,0.018171
1048204800,0.092582,0.057692,0.034889
1048291200,0.138857,0.057420,0.081438
1048377600,NaN,0.057147,NaN
1048464000,0.065405,0.056874,0.008530
1048550400,0.070340,0.056602,0.013738
1048636800,NaN,0.056329,NaN
1048723200,NaN,0.056057,NaN
1048809600,0.099909,0.055784,0.044125
1048896000,0.069745,0.055511,0.014234
1048982400,0.126322,0.055239,0.071083
1049068800,NaN,0.054966,NaN
1049155200,NaN,0.054693,NaN
1049241600,NaN,0.054421,NaN
1049328000,NaN,0.054148,NaN
1049414400,0.065973,0.053876,0.012097
1049500800,NaN,0.053603,NaN
1049587200,0.059980,0.053330,0.006650
1049673600,NaN,0.053058,NaN
1049760000,NaN,0.052785,NaN
1049846400,NaN,0.052512,NaN
1049932800,NaN,0.052240,NaN
1050019200,0.133475,0.051967,0.081508
1050105600,NaN,0.051695,NaN
1050192000,0.069377,0.051422,0.017955
1050278400,0.081602,0.051149,0.030453
1050364800,0.081690,0.050877,0.030813
1050451200,0.039293,0.050870,-0.011577
1050537600,NaN,0.050864,NaN
1050624000,0.053543,0.050857,0.002686
1050710400,NaN,0.050851,NaN
1050796800,0.048237,0.050844,-0.002608
1050883200,0.054904,0.050838,0.004066
1050969600,0.031760,0.050831,-0.019072
1051056000,NaN,0.050825,NaN
1051142400,NaN,0.050819,NaN
1051228800,0.006340,0.050812,-0.044472
1051315200,NaN,0.050806,NaN
1051401600,NaN,0.050799,NaN
1051488000,0.047798,0.050793,-0.002994
1051574400,0.044104,0.050786,-0.006682
1051660800,NaN,0.050780,NaN
1051747200,NaN,0.050773,NaN
1051833600,NaN,0.050767,NaN
1051920000,NaN,0.050760,NaN
1052006400,0.044908,0.050754,-0.005846
1052092800,NaN,0.050747,NaN
1052179200,0.032482,0.050741,-0.018259
1052265600,NaN,0.050735,NaN
1052352000,0.041356,0.050728,-0.009372
1052438400,NaN,0.050722,NaN
1052524800,NaN,0.050715,NaN
1052611200,0.031061,0.050709,-0.019648
1052697600,NaN,0.050702,NaN
1052784000,NaN,0.050696,NaN
1052870400,0.057536,0.050689,0.006846
1052956800,0.049275,0.050683,-0.001408
1053043200,0.032663,0.050798,-0.018136
1053129600,0.048616,0.050913,-0.002297
1053216000,0.029840,0.051029,-0.021189
1053302400,NaN,0.051144,NaN
1053388800,0.122880,0.051259,0.071621
1053475200,NaN,0.051375,NaN
1053561600,0.046105,0.051490,-0.005385
1053648000,0.074561,0.051605,0.022955
1053734400,0.100750,0.051721,0.049030
1053820800,0.046199,0.051836,-0.005637
1053907200,NaN,0.051951,NaN
1053993600,NaN,0.052067,NaN
1054080000,NaN,0.052182,NaN
1054166400,NaN,0.052297,NaN
1054252800,NaN,0.052413,NaN
1054339200,0.058833,0.052528,0.006305
1054425600,NaN,0.052643,NaN
1054512000,0.082018,0.052758,0.029260
1054598400,NaN,0.052874,NaN
1054684800,NaN,0.052989,NaN
1054771200,0.075925,0.053104,0.022821
1054857600,NaN,0.053220,NaN
1054944000,0.045591,0.053335,-0.007744
1055030400,0.051813,0.053450,-0.001637
1055116800,0.074135,0.053566,0.020569
1055203200,NaN,0.053681,NaN
1055289600,NaN,0.053796,NaN
1055376000,NaN,0.053912,NaN
1055462400,NaN,0.054027,NaN
1055548800,0.032972,0.054142,-0.021170
1055635200,NaN,0.054257,NaN
1055721600,NaN,0.054486,NaN
1055808000,NaN,0.054715,NaN
1055894400,NaN,0.054943,NaN
1055980800,NaN,0.055172,NaN
1056067200,NaN,0.055401,NaN
1056153600,0.060605,0.055629,0.004975
1056240000,NaN,0.055858,NaN
1056326400,NaN,0.056086,NaN
1056412800,NaN,0.056315,NaN
1056499200,NaN,0.056544,NaN
1056585600,NaN,0.056772,NaN
1056672000,NaN,0.057001,NaN
1056758400,NaN,0.057230,NaN
1056844800,NaN,0.057458,NaN
1056931200,NaN,0.057687,NaN
1057017600,NaN,0.057915,NaN
1057104000,NaN,0.058144,NaN
1057190400,0.064016,0.058373,0.005644
1057276800,NaN,0.058601,NaN
1057363200,NaN,0.058830,NaN
1057449600,NaN,0.059059,NaN
1057536000,NaN,0.059287,NaN
1057622400,NaN,0.059516,NaN
1057708800,0.060914,0.059744,0.001170
1057795200,NaN,0.059973,NaN
1057881600,NaN,0.060202,NaN
1057968000,0.103070,0.060430,0.042640
1058054400,NaN,0.060659,NaN
1058140800,NaN,0.060887,NaN
1058227200,NaN,0.061116,NaN
1058313600,0.062614,0.061101,0.001514
1058400000,0.054592,0.061085,-0.006493
1058486400,NaN,0.061070,NaN
1058572800,0.090454,0.061055,0.029399
1058659200,0.052844,0.061039,-0.008196
1058745600,NaN,0.061024,NaN
1058832000,NaN,0.061009,NaN
1058918400,NaN,0.060993,NaN
1059004800,NaN,0.060978,NaN
1059091200,NaN,0.060962,NaN
1059177600,0.066716,0.060947,0.005769
1059264000,0.066595,0.060932,0.005663
1059350400,NaN,0.060916,NaN
1059436800,NaN,0.060901,NaN
1059523200,0.063903,0.060886,0.003018
1059609600,NaN,0.060870,NaN
1059696000,NaN,0.060855,NaN
1059782400,NaN,0.060840,NaN
1059868800,NaN,0.060824,NaN
1059955200,0.050134,0.060809,-0.010675
1060041600,NaN,0.060794,NaN
1060128000,NaN,0.060778,NaN
1060214400,NaN,0.060763,NaN
1060300800,0.049389,0.060747,-0.011359
1060387200,0.085964,0.060732,0.025232
1060473600,NaN,0.060717,NaN
1060560000,0.059912,0.060701,-0.000790
1060646400,0.026276,0.060686,-0.034410
1060732800,NaN,0.060671,NaN
1060819200,NaN,0.060655,NaN
1060905600,0.053158,0.060640,-0.007482
1060992000,NaN,0.060926,NaN
1061078400,NaN,0.061213,NaN
1061164800,0.038115,0.061499,-0.023384
1061251200,0.040797,0.061786,-0.020989
1061337600,NaN,0.062072,NaN
1061424000,NaN,0.062359,NaN
1061510400,NaN,0.062645,NaN
1061596800,NaN,0.062931,NaN
1061683200,0.040017,0.063218,-0.023201
1061769600,0.092860,0.063504,0.029355
1061856000,NaN,0.063791,NaN
1061942400,0.083017,0.064077,0.018940
1062028800,NaN,0.064364,NaN
1062115200,NaN,0.064650,NaN
1062201600,NaN,0.064937,NaN
1062288000,NaN,0.065223,NaN
1062374400,NaN,0.065510,NaN
1062460800,0.086541,0.065796,0.020745
1062547200,NaN,0.066082,NaN
1062633600,0.045678,0.066369,-0.020691
1062720000,NaN,0.066655,NaN
1062806400,0.119325,0.066942,0.052384
1062892800,NaN,0.067228,NaN
1062979200,NaN,0.067515,NaN
1063065600,0.096206,0.067801,0.028405
1063152000,NaN,0.068088,NaN
1063238400,0.125991,0.068374,0.057617
1063324800,NaN,0.068661,NaN
1063411200,0.054694,0.068947,-0.014253
1063497600,NaN,0.069233,NaN
1063584000,NaN,0.069520,NaN
1063670400,0.052824,0.069599,-0.016775
1063756800,0.073878,0.069678,0.004201
1063843200,0.034469,0.069756,-0.035287
1063929600,0.056562,0.069835,-0.013274
1064016000,NaN,0.069914,NaN
1064102400,NaN,0.069993,NaN
1064188800,0.032952,0.070072,-0.037120
1064275200,NaN,0.070150,NaN
1064361600,NaN,0.070229,NaN
1064448000,NaN,0.070308,NaN
1064534400,NaN,0.070387,NaN
1064707200,NaN,0.070545,NaN
1064793600,NaN,0.070623,NaN
1064880000,NaN,0.070702,NaN
1064966400,0.078431,0.070781,0.007650
1065052800,0.037381,0.070860,-0.033479
1065139200,0.033666,0.070939,-0.037273
1065225600,NaN,0.071018,NaN
1065312000,NaN,0.071096,NaN
1065398400,0.142229,0.071175,0.071054
1065484800,NaN,0.071254,NaN
1065571200,NaN,0.071333,NaN
1065657600,0.028970,0.071412,-0.042441
1065744000,0.074639,0.071490,0.003148
1065830400,0.036526,0.071569,-0.035044
1065916800,NaN,0.071648,NaN
1066003200,0.039329,0.071727,-0.032398
1066089600,NaN,0.071806,NaN
1066176000,NaN,0.071885,NaN
1066262400,NaN,0.071857,NaN
1066348800,NaN,0.071829,NaN
1066435200,NaN,0.071802,NaN
1066521600,0.090770,0.071774,0.018995
1066608000,0.079585,0.071747,0.007839
1066694400,0.058902,0.071719,-0.012818
1066780800,0.066847,0.071692,-0.004845
1066867200,NaN,0.071664,NaN
1066953600,0.096630,0.071637,0.024994
1067040000,NaN,0.071609,NaN
1067126400,0.114503,0.071582,0.042921
1067212800,NaN,0.071554,NaN
1067299200,NaN,0.071526,NaN
1067558400,0.144887,0.071444,0.073443
1067644800,NaN,0.071416,NaN
1067731200,0.132404,0.071389,0.061015
1067817600,NaN,0.071361,NaN
1067904000,NaN,0.071334,NaN
1067990400,NaN,0.071306,NaN
1068076800,NaN,0.071279,NaN
1068163200,0.101640,0.071251,0.030389
1068249600,NaN,0.071223,NaN
1068336000,NaN,0.071196,NaN
1068422400,NaN,0.071168,NaN
1068508800,0.123871,0.071141,0.052730
1068595200,0.136795,0.071113,0.065682
1068681600,0.075349,0.071086,0.004263
1068768000,0.114782,0.071058,0.043724
1068940800,0.210031,0.071469,0.138562
1069027200,NaN,0.071907,NaN
1069113600,0.110958,0.072345,0.038613
1069200000,NaN,0.072783,NaN
1069286400,NaN,0.073221,NaN
1069372800,0.120302,0.073659,0.046643
1069459200,NaN,0.074098,NaN
1069545600,0.071144,0.074536,-0.003391
1069632000,0.056345,0.074974,-0.018629
1069718400,0.039960,0.075412,-0.035452
1069804800,0.078018,0.075850,0.002167
1069891200,0.079531,0.076288,0.003243
1069977600,NaN,0.076727,NaN
1070064000,NaN,0.077165,NaN
1070150400,0.114765,0.077603,0.037162
1070323200,0.078667,0.078479,0.000188
1070409600,NaN,0.078917,NaN
1070496000,NaN,0.079355,NaN
1070582400,NaN,0.079794,NaN
1070668800,0.104971,0.080232,0.024740
1070755200,0.126997,0.080670,0.046327
1070841600,0.093652,0.081108,0.012544
1070928000,NaN,0.081546,NaN
1071014400,0.089598,0.081984,0.007614
1071100800,0.100745,0.082422,0.018322
1071187200,0.085444,0.082861,0.002583
1071273600,0.065496,0.083299,-0.017803
1071360000,NaN,0.083737,NaN
1071446400,0.094398,0.084175,0.010223
1071532800,NaN,0.083959,NaN
1071619200,NaN,0.083743,NaN
1071705600,NaN,0.083527,NaN
1071792000,NaN,0.083310,NaN
1071878400,0.125822,0.083094,0.042728
1071964800,0.174869,0.082878,0.091991
1072051200,NaN,0.082662,NaN
1072137600,NaN,0.082446,NaN
1072224000,NaN,0.082229,NaN
1072310400,NaN,0.082013,NaN
1072396800,0.113323,0.081797,0.031526
1072483200,0.067283,0.081581,-0.014298
1072569600,NaN,0.081365,NaN
1072656000,0.104474,0.081149,0.023325
1072742400,0.124278,0.080932,0.043345
1072828800,0.085378,0.080716,0.004662
1072915200,0.086999,0.080500,0.006499
1073001600,NaN,0.080284,NaN
1073088000,0.147862,0.080068,0.067794
1073174400,0.096395,0.079852,0.016543
1073260800,0.087265,0.079635,0.007630
1073347200,NaN,0.079419,NaN
1073433600,0.077450,0.079203,-0.001753
1073520000,NaN,0.078987,NaN
1073606400,0.058887,0.078771,-0.019884
1073692800,0.143303,0.078555,0.064748
1073779200,0.101332,0.078338,0.022993
1073865600,0.114905,0.078122,0.036783
1073952000,NaN,0.077906,NaN
1074038400,0.072186,0.077690,-0.005504
1074124800,0.087834,0.077474,0.010360
1074211200,0.047924,0.077081,-0.029157
1074297600,0.101530,0.076689,0.024841
1074384000,NaN,0.076296,NaN
1074470400,NaN,0.075904,NaN
1074556800,0.090759,0.075511,0.015247
1074643200,0.077658,0.075119,0.002539
1074729600,0.087550,0.074727,0.012824
1074816000,0.055608,0.074334,-0.018726
1074902400,0.052556,0.073942,-0.021385
1074988800,0.053354,0.073549,-0.020195
1075075200,0.125639,0.073157,0.052482
1075161600,NaN,0.072764,NaN
1075248000,0.095257,0.072372,0.022885
1075334400,NaN,0.071979,NaN
1075420800,NaN,0.071587,NaN
1075507200,NaN,0.071195,NaN
1075593600,0.049374,0.070802,-0.021429
1075680000,0.057922,0.070410,-0.012488
1075766400,0.045469,0.070017,-0.024548
1075852800,0.044896,0.069625,-0.024729
1075939200,NaN,0.069232,NaN
1076025600,0.052200,0.068840,-0.016640
1076112000,NaN,0.068448,NaN
1076198400,0.083643,0.068055,0.015587
1076284800,NaN,0.067663,NaN
1076371200,0.054419,0.067270,-0.012851
1076457600,0.067129,0.066878,0.000251
1076544000,NaN,0.066485,NaN
1076630400,0.037968,0.066093,-0.028124
1076716800,0.010039,0.065700,-0.055662
1076803200,NaN,0.065308,NaN
1076889600,0.108219,0.065094,0.043124
1076976000,NaN,0.064881,NaN
1077062400,0.078859,0.064667,0.014191
1077148800,0.075051,0.064454,0.010597
1077235200,0.061418,0.064240,-0.002822
1077321600,0.030396,0.064027,-0.033631
1077408000,0.041725,0.063813,-0.022088
1077494400,0.051627,0.063599,-0.011972
1077580800,0.071323,0.063386,0.007937
1077667200,0.057986,0.063172,-0.005186
1077753600,0.062663,0.062959,-0.000296
1077840000,0.124359,0.062745,0.061614
1077926400,NaN,0.062532,NaN
1078012800,NaN,0.062318,NaN
1078099200,0.141218,0.062104,0.079113
1078185600,NaN,0.061891,NaN
1078272000,0.084326,0.061677,0.022648
1078358400,0.099622,0.061464,0.038158
1078444800,0.068602,0.061250,0.007351
1078531200,0.036975,0.061037,-0.024061
1078617600,0.054473,0.060823,-0.006350
1078704000,0.068369,0.060610,0.007760
1078790400,0.045989,0.060396,-0.014407
1078876800,0.208389,0.060182,0.148207
1078963200,NaN,0.059969,NaN
1079049600,0.035885,0.059755,-0.023870
1079136000,0.037171,0.059542,-0.022371
1079222400,NaN,0.059328,NaN
1079308800,NaN,0.059056,NaN
1079395200,NaN,0.058783,NaN
1079481600,0.005640,0.058510,-0.052870
1079568000,NaN,0.058238,NaN
1079654400,0.064597,0.057965,0.006632
1079740800,NaN,0.057692,NaN
1079827200,0.043670,0.057420,-0.013750
1079913600,0.029551,0.057147,-0.027596
1080000000,0.055132,0.056874,-0.001743
1080086400,NaN,0.056602,NaN
1080172800,NaN,0.056329,NaN
1080259200,NaN,0.056057,NaN
1080345600,NaN,0.055784,NaN
1080432000,0.027217,0.055511,-0.028294
1080518400,0.018903,0.055239,-0.036336
1080604800,0.019217,0.054966,-0.035749
1080691200,0.044876,0.054693,-0.009818
1080777600,0.072149,0.054421,0.017728
1080864000,0.034302,0.054148,-0.019846
1080950400,NaN,0.053876,NaN
1081036800,0.082885,0.053603,0.029282
1081123200,0.019171,0.053330,-0.034159
1081209600,NaN,0.053058,NaN
1081296000,NaN,0.052785,NaN
1081382400,0.029625,0.052512,-0.022887
1081468800,NaN,0.052240,NaN
1081555200,NaN,0.051967,NaN
1081641600,0.046310,0.051695,-0.005385
1081728000,NaN,0.051422,NaN
1081814400,NaN,0.051149,NaN
1081900800,NaN,0.050877,NaN
1081987200,0.090427,0.050870,0.039557
1082073600,0.078079,0.050864,0.027216
1082160000,NaN,0.050857,NaN
1082246400,NaN,0.050851,NaN
1082332800,NaN,0.050844,NaN
1082419200,0.065174,0.050838,0.014336
1082505600,NaN,0.050831,NaN
1082592000,NaN,0.050825,NaN
1082678400,0.056337,0.050819,0.005518
1082764800,0.044472,0.050812,-0.006340
1082851200,0.115845,0.050806,0.065039
1082937600,NaN,0.050799,NaN
1083024000,NaN,0.050793,NaN
1083110400,NaN,0.050786,NaN
1083196800,0.099255,0.050780,0.048475
1083283200,0.086179,0.050773,0.035406
1083369600,0.053155,0.050767,0.002388
1083456000,NaN,0.050760,NaN
1083542400,NaN,0.050754,NaN
1083628800,0.029223,0.050747,-0.021524
1083715200,NaN,0.050741,NaN
1083801600,NaN,0.050735,NaN
1083888000,NaN,0.050728,NaN
1083974400,0.061037,0.050722,0.010315
1084060800,NaN,0.050715,NaN
1084147200,NaN,0.050709,NaN
1084233600,NaN,0.050702,NaN
1084320000,NaN,0.050696,NaN
1084406400,NaN,0.050689,NaN
1084492800,NaN,0.050683,NaN
1084579200,0.126707,0.050798,0.075909
1084665600,NaN,0.050913,NaN
1084752000,0.060338,0.051029,0.009310
1084838400,0.076459,0.051144,0.025314
1084924800,NaN,0.051259,NaN
1085011200,NaN,0.051375,NaN
1085097600,NaN,0.051490,NaN
1085184000,0.030923,0.051605,-0.020682
1085270400,NaN,0.051721,NaN
1085356800,0.021450,0.051836,-0.030386
1085443200,0.037097,0.051951,-0.014854
1085529600,0.027149,0.052067,-0.024917
1085616000,0.016582,0.052182,-0.035600
1085702400,NaN,0.052297,NaN
1085788800,0.024853,0.052413,-0.027560
1085875200,NaN,0.052528,NaN
1085961600,0.027742,0.052643,-0.024901
1086048000,0.036309,0.052758,-0.016450
1086134400,0.017820,0.052874,-0.035053
1086220800,0.017504,0.052989,-0.035485
1086307200,0.043427,0.053104,-0.009677
1086393600,0.014563,0.053220,-0.038656
1086480000,NaN,0.053335,NaN
1086566400,0.027024,0.053450,-0.026426
1086652800,NaN,0.053566,NaN
1086739200,0.038675,0.053681,-0.015006
1086825600,NaN,0.053796,NaN
1086912000,0.038411,0.053912,-0.015501
1086998400,NaN,0.054027,NaN
1087084800,NaN,0.054142,NaN
1087171200,NaN,0.054257,NaN
1087257600,NaN,0.054486,NaN
1087344000,0.036193,0.054715,-0.018522
1087430400,0.067270,0.054943,0.012327
1087516800,0.047136,0.055172,-0.008036
1087603200,NaN,0.055401,NaN
1087689600,0.026628,0.055629,-0.029001
1087776000,0.088952,0.055858,0.033094
1087862400,NaN,0.056086,NaN
1087948800,NaN,0.056315,NaN
1088035200,NaN,0.056544,NaN
1088121600,0.055638,0.056772,-0.001135
1088208000,0.075939,0.057001,0.018938
1088294400,0.037462,0.057230,-0.019768
1088380800,NaN,0.057458,NaN
1088467200,NaN,0.057687,NaN
1088553600,NaN,0.057915,NaN
1088640000,NaN,0.058144,NaN
1088726400,0.040967,0.058373,-0.017406
1088812800,0.048594,0.058601,-0.010008
1088899200,0.054136,0.058830,-0.004694
1088985600,0.060797,0.059059,0.001738
1089072000,0.046206,0.059287,-0.013082
1089158400,0.042660,0.059516,-0.016856
1089244800,NaN,0.059744,NaN
1089331200,NaN,0.059973,NaN
1089417600,NaN,0.060202,NaN
1089504000,0.036200,0.060430,-0.024231
1089590400,0.083841,0.060659,0.023182
1089676800,0.035396,0.060887,-0.025492
1089763200,0.063384,0.061116,0.002268
1089849600,NaN,0.061101,NaN
1089936000,NaN,0.061085,NaN
1090022400,NaN,0.061070,NaN
1090108800,NaN,0.061055,NaN
