Time,mean,climatology,anomaly
1025740800,NaN,1.144657,NaN
1025827200,NaN,1.159515,NaN
1025913600,NaN,1.174374,NaN
1026000000,0.117051,1.189232,-1.072182
1026086400,NaN,1.204091,NaN
1026172800,NaN,1.218950,NaN
1026259200,NaN,1.233808,NaN
1026345600,NaN,1.248667,NaN
1026432000,NaN,1.263525,NaN
1026518400,NaN,1.278384,NaN
1026691200,NaN,1.308101,NaN
1026777600,NaN,1.288479,NaN
1026864000,1.166883,1.268857,-0.101975
1026950400,1.262252,1.249236,0.013016
1027036800,1.239039,1.229614,0.009425
1027209600,0.472876,1.190370,-0.717495
1027296000,0.889415,1.170749,-0.281334
1027382400,NaN,1.151127,NaN
1027468800,0.969789,1.131505,-0.161716
1027555200,NaN,1.111884,NaN
1027641600,NaN,1.092262,NaN
1027728000,NaN,1.072640,NaN
1027814400,1.650029,1.053018,0.597010
1027900800,NaN,1.033397,NaN
1028678400,NaN,0.856801,NaN
1028851200,NaN,0.817558,NaN
1028937600,NaN,0.797936,NaN
1029024000,NaN,0.778314,NaN
1029110400,NaN,0.758692,NaN
1029196800,NaN,0.739071,NaN
1029283200,NaN,0.719449,NaN
1029456000,0.716187,0.692999,0.023188
1029542400,0.697702,0.686171,0.011531
1029628800,0.517913,0.679343,-0.161431
1029715200,NaN,0.672516,NaN
1029888000,NaN,0.658860,NaN
1029974400,NaN,0.652032,NaN
1030060800,NaN,0.645204,NaN
1030233600,NaN,0.631548,NaN
1030320000,NaN,0.624720,NaN
1030406400,NaN,0.617892,NaN
1030492800,NaN,0.611064,NaN
1030579200,NaN,0.604237,NaN
1030665600,NaN,0.597409,NaN
1030752000,NaN,0.590581,NaN
1030924800,NaN,0.576925,NaN
1031011200,NaN,0.570097,NaN
1031097600,NaN,0.563269,NaN
1031270400,NaN,0.549613,NaN
1031356800,NaN,0.542785,NaN
1031443200,NaN,0.535958,NaN
1031616000,NaN,0.522302,NaN
1031702400,0.481682,0.515474,-0.033792
1031875200,NaN,0.501818,NaN
1031961600,NaN,0.494990,NaN
1032048000,NaN,0.488162,NaN
1032134400,NaN,0.493523,NaN
1032220800,NaN,0.498884,NaN
1032307200,0.440954,0.504245,-0.063291
1032393600,NaN,0.509606,NaN
1032480000,0.389098,0.514967,-0.125870
1032566400,NaN,0.520328,NaN
1032652800,NaN,0.525689,NaN
1032739200,NaN,0.531050,NaN
1032825600,NaN,0.536411,NaN
1032912000,NaN,0.541772,NaN
1032998400,NaN,0.547133,NaN
1033084800,1.711678,0.552494,1.159183
1033171200,1.534950,0.557855,0.977095
1033257600,1.808691,0.563216,1.245475
1033344000,NaN,0.568577,NaN
1033430400,NaN,0.573938,NaN
1033516800,NaN,0.579299,NaN
1033603200,NaN,0.584660,NaN
1033689600,NaN,0.590021,NaN
1033776000,NaN,0.595382,NaN
1033862400,1.768613,0.600743,1.167870
1033948800,NaN,0.606104,NaN
1034035200,NaN,0.611465,NaN
1034121600,NaN,0.616826,NaN
1034208000,NaN,0.622187,NaN
1034294400,NaN,0.627548,NaN
1034380800,NaN,0.632909,NaN
1034467200,NaN,0.638270,NaN
1034553600,NaN,0.643631,NaN
1034640000,0.437301,0.648992,-0.211690
1034726400,0.717931,0.661762,0.056169
1034812800,0.405982,0.674532,-0.268550
1034899200,NaN,0.687302,NaN
1034985600,NaN,0.700072,NaN
1035072000,NaN,0.712843,NaN
1035158400,NaN,0.725613,NaN
1035244800,NaN,0.738383,NaN
1035331200,NaN,0.751153,NaN
1035417600,NaN,0.763923,NaN
1035504000,NaN,0.776693,NaN
1035590400,NaN,0.789463,NaN
1035676800,NaN,0.802234,NaN
1035763200,NaN,0.815004,NaN
1035849600,NaN,0.827774,NaN
1035936000,NaN,0.840544,NaN
1036022400,NaN,0.853314,NaN
1036108800,NaN,0.866084,NaN
1036195200,NaN,0.878854,NaN
1036281600,NaN,0.891625,NaN
1036368000,NaN,0.904395,NaN
1036454400,NaN,0.917165,NaN
1036540800,0.838178,0.929935,-0.091757
1036627200,0.857164,0.942705,-0.085542
1036713600,NaN,0.955475,NaN
1036800000,0.823105,0.968245,-0.145140
1036886400,NaN,0.981015,NaN
1036972800,NaN,0.993786,NaN
1037059200,0.613614,1.006556,-0.392942
1037145600,0.721403,1.019326,-0.297923
1037232000,NaN,1.032096,NaN
1037318400,NaN,1.044866,NaN
1037404800,NaN,1.054155,NaN
1037491200,0.607001,1.063444,-0.456442
1037577600,NaN,1.072732,NaN
1037664000,NaN,1.082021,NaN
1037750400,NaN,1.091310,NaN
1037836800,0.775328,1.100598,-0.325270
1037923200,0.860129,1.109887,-0.249758
1038009600,1.101722,1.119176,-0.017453
1038096000,NaN,1.128465,NaN
1038182400,0.438420,1.137753,-0.699333
1038268800,NaN,1.147042,NaN
1038355200,NaN,1.156331,NaN
1038441600,NaN,1.165619,NaN
1038528000,0.845472,1.174908,-0.329436
1038614400,NaN,1.184197,NaN
1038700800,NaN,1.193486,NaN
1038787200,1.095699,1.202774,-0.107075
1038873600,NaN,1.212063,NaN
1038960000,NaN,1.221352,NaN
1039046400,NaN,1.230641,NaN
1039132800,1.309862,1.239929,0.069933
1039219200,NaN,1.249218,NaN
1039305600,NaN,1.258507,NaN
1039392000,NaN,1.267795,NaN
1039478400,NaN,1.277084,NaN
1039564800,NaN,1.286373,NaN
1039651200,NaN,1.295662,NaN
1039737600,1.404124,1.304950,0.099174
1039824000,0.944672,1.314239,-0.369567
1039910400,0.784210,1.323528,-0.539317
1039996800,0.758178,1.327450,-0.569272
1040083200,0.848142,1.331372,-0.483230
1040169600,0.833389,1.335294,-0.501905
1040256000,NaN,1.339216,NaN
1040342400,1.004477,1.343138,-0.338661
1040428800,NaN,1.347060,NaN
1040515200,NaN,1.350982,NaN
1040601600,NaN,1.354904,NaN
1040688000,NaN,1.358826,NaN
1040774400,0.612016,1.362748,-0.750732
1040860800,NaN,1.366670,NaN
1040947200,NaN,1.370592,NaN
1041033600,NaN,1.374514,NaN
1041120000,NaN,1.378436,NaN
1041206400,NaN,1.382358,NaN
1041292800,NaN,1.386280,NaN
1041379200,1.259109,1.390202,-0.131093
1041465600,NaN,1.394124,NaN
1041552000,1.328728,1.398046,-0.069318
1041638400,1.223627,1.401968,-0.178341
1041724800,1.158101,1.405891,-0.247790
1041811200,NaN,1.409813,NaN
1041897600,1.287751,1.413735,-0.125984
1041984000,1.204291,1.417657,-0.213365
1042070400,NaN,1.421579,NaN
1042156800,NaN,1.425501,NaN
1042243200,NaN,1.429423,NaN
1042329600,NaN,1.433345,NaN
1042416000,1.066979,1.437267,-0.370288
1042502400,0.915402,1.441189,-0.525787
1042588800,NaN,1.445111,NaN
1042675200,0.647527,1.437768,-0.790241
1042761600,1.809471,1.430425,0.379046
1042848000,1.226203,1.423082,-0.196879
1042934400,2.108762,1.415739,0.693023
1043020800,1.095185,1.408396,-0.313211
1043107200,NaN,1.401053,NaN
1043193600,NaN,1.393710,NaN
1043280000,NaN,1.386367,NaN
1043366400,NaN,1.379024,NaN
1043452800,NaN,1.371681,NaN
1043539200,NaN,1.364338,NaN
1043625600,NaN,1.356995,NaN
1043712000,NaN,1.349652,NaN
1043798400,1.415264,1.342309,0.072955
1043884800,NaN,1.334966,NaN
1043971200,NaN,1.327623,NaN
1044057600,0.909310,1.320280,-0.410970
1044144000,0.860800,1.312937,-0.452137
1044230400,NaN,1.305594,NaN
1044316800,1.191986,1.298251,-0.106265
1044403200,NaN,1.290908,NaN
1044489600,NaN,1.283565,NaN
1044576000,NaN,1.276222,NaN
1044662400,NaN,1.268879,NaN
1044748800,NaN,1.261536,NaN
1044835200,NaN,1.254193,NaN
1044921600,0.682680,1.246850,-0.564169
1045008000,NaN,1.239507,NaN
1045094400,NaN,1.232164,NaN
1045180800,NaN,1.224821,NaN
1045267200,NaN,1.217478,NaN
1045353600,NaN,1.218606,NaN
1045440000,NaN,1.219734,NaN
1045526400,1.558789,1.220862,0.337927
1045612800,NaN,1.221990,NaN
1045699200,NaN,1.223118,NaN
1045785600,NaN,1.224247,NaN
1045872000,NaN,1.225375,NaN
1045958400,0.843186,1.226503,-0.383317
1046044800,0.624807,1.227631,-0.602824
1046131200,NaN,1.228759,NaN
1046217600,NaN,1.229887,NaN
1046304000,NaN,1.231016,NaN
1046390400,NaN,1.232144,NaN
1046476800,NaN,1.233272,NaN
1046563200,NaN,1.234400,NaN
1046649600,NaN,1.235528,NaN
1046736000,NaN,1.236656,NaN
1046822400,NaN,1.237785,NaN
1046908800,NaN,1.238913,NaN
1046995200,NaN,1.240041,NaN
1047081600,NaN,1.241169,NaN
1047168000,NaN,1.242297,NaN
1047254400,NaN,1.243425,NaN
1047340800,NaN,1.244554,NaN
1047427200,NaN,1.245682,NaN
1047513600,NaN,1.246810,NaN
1047600000,0.584129,1.247938,-0.663809
1047686400,0.544785,1.249066,-0.704282
1047772800,NaN,1.234421,NaN
1047859200,0.790125,1.219777,-0.429651
1047945600,NaN,1.205132,NaN
1048032000,NaN,1.190487,NaN
1048118400,NaN,1.175842,NaN
1048204800,1.154385,1.161198,-0.006813
1048291200,0.861628,1.146553,-0.284925
1048377600,3.097652,1.131908,1.965744
1048464000,NaN,1.117263,NaN
1048550400,NaN,1.102619,NaN
1048636800,NaN,1.087974,NaN
1048723200,4.566257,1.073329,3.492927
1048809600,1.616028,1.058684,0.557344
1048896000,NaN,1.044040,NaN
1048982400,1.840278,1.029395,0.810883
1049068800,2.360335,1.014750,1.345585
1049155200,NaN,1.000105,NaN
1049241600,NaN,0.985460,NaN
1049328000,2.055731,0.970816,1.084915
1049414400,NaN,0.956171,NaN
1049500800,NaN,0.941526,NaN
1049587200,NaN,0.926881,NaN
1049673600,NaN,0.912237,NaN
1049760000,NaN,0.897592,NaN
1049846400,NaN,0.882947,NaN
1049932800,NaN,0.868302,NaN
1050019200,NaN,0.853658,NaN
1050105600,2.417331,0.839013,1.578318
1050192000,2.631463,0.824368,1.807095
1050278400,2.833267,0.809723,2.023543
1050364800,NaN,0.795078,NaN
1050451200,NaN,0.785987,NaN
1050537600,2.563311,0.776896,1.786414
1050624000,NaN,0.767805,NaN
1050710400,NaN,0.758714,NaN
1050796800,NaN,0.749623,NaN
1050883200,NaN,0.740532,NaN
1050969600,NaN,0.731441,NaN
1051056000,NaN,0.722350,NaN
1051142400,NaN,0.713259,NaN
1051228800,NaN,0.704168,NaN
1051315200,3.000649,0.695077,2.305572
1051401600,NaN,0.685986,NaN
1051488000,NaN,0.676895,NaN
1051574400,NaN,0.667804,NaN
1051660800,2.329718,0.658713,1.671005
1051747200,NaN,0.649622,NaN
1051833600,1.883376,0.640531,1.242845
1051920000,NaN,0.631440,NaN
1052006400,NaN,0.622349,NaN
1052092800,NaN,0.613258,NaN
1052179200,NaN,0.604167,NaN
1052265600,NaN,0.595076,NaN
1052352000,0.428900,0.585985,-0.157084
1052438400,NaN,0.576894,NaN
1052524800,NaN,0.567803,NaN
1052611200,NaN,0.558711,NaN
1052697600,NaN,0.549620,NaN
1052784000,NaN,0.540529,NaN
1052870400,NaN,0.531438,NaN
1052956800,NaN,0.522347,NaN
1053043200,0.227744,0.533315,-0.305571
1053129600,NaN,0.544283,NaN
1053216000,NaN,0.555250,NaN
1053302400,NaN,0.566218,NaN
1053388800,NaN,0.577186,NaN
1053475200,NaN,0.588153,NaN
1053561600,NaN,0.599121,NaN
1053648000,0.243062,0.610088,-0.367027
1053734400,NaN,0.621056,NaN
1053820800,0.184776,0.632024,-0.447248
1053907200,NaN,0.642991,NaN
1053993600,NaN,0.653959,NaN
1054080000,0.169187,0.664927,-0.495739
1054166400,NaN,0.675894,NaN
1054252800,0.252405,0.686862,-0.434457
1054339200,0.457381,0.697829,-0.240449
1054425600,0.481841,0.708797,-0.226956
1054512000,0.429987,0.719765,-0.289778
1054598400,NaN,0.730732,NaN
1054684800,NaN,0.741700,NaN
1054771200,NaN,0.752668,NaN
1054857600,NaN,0.763635,NaN
1054944000,NaN,0.774603,NaN
1055030400,0.435425,0.785571,-0.350145
1055116800,0.469065,0.796538,-0.327473
1055203200,NaN,0.807506,NaN
1055289600,NaN,0.818473,NaN
1055376000,NaN,0.829441,NaN
1055462400,NaN,0.840409,NaN
1055548800,NaN,0.851376,NaN
1055635200,NaN,0.862344,NaN
1055721600,NaN,0.877203,NaN
1055808000,NaN,0.892061,NaN
1055894400,NaN,0.906920,NaN
1055980800,NaN,0.921778,NaN
1056067200,NaN,0.936637,NaN
1056153600,NaN,0.951495,NaN
1056240000,NaN,0.966354,NaN
1056326400,NaN,0.981213,NaN
1056412800,NaN,0.996071,NaN
1056499200,NaN,1.010930,NaN
1056585600,NaN,1.025788,NaN
1056672000,NaN,1.040647,NaN
1056758400,NaN,1.055505,NaN
1056844800,NaN,1.070364,NaN
1056931200,NaN,1.085222,NaN
1057017600,NaN,1.100081,NaN
1057104000,NaN,1.114940,NaN
1057190400,NaN,1.129798,NaN
1057276800,NaN,1.144657,NaN
1057363200,NaN,1.159515,NaN
1057449600,NaN,1.174374,NaN
1057536000,NaN,1.189232,NaN
1057622400,2.165251,1.204091,0.961160
1057708800,NaN,1.218950,NaN
1057795200,NaN,1.233808,NaN
1057881600,NaN,1.248667,NaN
1057968000,1.537104,1.263525,0.273579
1058054400,NaN,1.278384,NaN
1058140800,NaN,1.293242,NaN
1058227200,NaN,1.308101,NaN
1058313600,NaN,1.288479,NaN
1058400000,NaN,1.268857,NaN
1058486400,NaN,1.249236,NaN
1058572800,1.196834,1.229614,-0.032780
1058659200,NaN,1.209992,NaN
1058745600,0.580867,1.190370,-0.609504
1058832000,NaN,1.170749,NaN
1058918400,NaN,1.151127,NaN
1059004800,NaN,1.131505,NaN
1059091200,NaN,1.111884,NaN
1059177600,1.103052,1.092262,0.010790
1059264000,NaN,1.072640,NaN
1059350400,0.908379,1.053018,-0.144639
1059436800,NaN,1.033397,NaN
1059523200,NaN,1.013775,NaN
1059609600,NaN,0.994153,NaN
1059696000,NaN,0.974531,NaN
1059782400,NaN,0.954910,NaN
1059868800,1.109116,0.935288,0.173828
1059955200,1.042896,0.915666,0.127230
1060041600,NaN,0.896044,NaN
1060128000,NaN,0.876423,NaN
1060214400,NaN,0.856801,NaN
1060300800,NaN,0.837179,NaN
1060387200,NaN,0.817558,NaN
1060473600,NaN,0.797936,NaN
1060560000,NaN,0.778314,NaN
1060646400,NaN,0.758692,NaN
1060732800,NaN,0.739071,NaN
1060819200,NaN,0.719449,NaN
1060905600,NaN,0.699827,NaN
1060992000,NaN,0.692999,NaN
1061078400,NaN,0.686171,NaN
1061164800,0.648741,0.679343,-0.030602
1061251200,0.590960,0.672516,-0.081555
1061337600,NaN,0.665688,NaN
1061424000,NaN,0.658860,NaN
1061510400,0.665144,0.652032,0.013112
1061596800,NaN,0.645204,NaN
1061683200,NaN,0.638376,NaN
1061769600,0.405194,0.631548,-0.226354
1061856000,NaN,0.624720,NaN
1061942400,NaN,0.617892,NaN
1062028800,NaN,0.611064,NaN
1062115200,NaN,0.604237,NaN
1062201600,NaN,0.597409,NaN
1062288000,NaN,0.590581,NaN
1062374400,NaN,0.583753,NaN
1062460800,NaN,0.576925,NaN
1062547200,0.402748,0.570097,-0.167349
1062633600,NaN,0.563269,NaN
1062720000,NaN,0.556441,NaN
1062806400,NaN,0.549613,NaN
1062892800,0.676779,0.542785,0.133993
1062979200,NaN,0.535958,NaN
1063065600,NaN,0.529130,NaN
1063152000,NaN,0.522302,NaN
1063238400,1.228670,0.515474,0.713196
1063324800,NaN,0.508646,NaN
1063411200,NaN,0.501818,NaN
1063497600,NaN,0.494990,NaN
1063584000,NaN,0.488162,NaN
1063670400,0.520022,0.493523,0.026499
1063756800,0.563192,0.498884,0.064307
1063843200,NaN,0.504245,NaN
1063929600,NaN,0.509606,NaN
1064016000,NaN,0.514967,NaN
1064102400,NaN,0.520328,NaN
1064188800,NaN,0.525689,NaN
1064275200,NaN,0.531050,NaN
1064361600,NaN,0.536411,NaN
1064448000,NaN,0.541772,NaN
1064534400,NaN,0.547133,NaN
1064707200,0.752689,0.557855,0.194834
1064793600,NaN,0.563216,NaN
1064880000,0.680679,0.568577,0.112102
1064966400,0.434112,0.573938,-0.139826
1065052800,0.917048,0.579299,0.337749
1065139200,NaN,0.584660,NaN
1065225600,1.228874,0.590021,0.638853
1065312000,NaN,0.595382,NaN
1065398400,NaN,0.600743,NaN
1065484800,0.991689,0.606104,0.385585
1065571200,NaN,0.611465,NaN
1065657600,NaN,0.616826,NaN
1065744000,NaN,0.622187,NaN
1065830400,NaN,0.627548,NaN
1065916800,NaN,0.632909,NaN
1066003200,0.341386,0.638270,-0.296884
1066089600,NaN,0.643631,NaN
1066176000,NaN,0.648992,NaN
1066262400,1.000237,0.661762,0.338475
1066348800,0.607626,0.674532,-0.066906
1066435200,NaN,0.687302,NaN
1066521600,0.639225,0.700072,-0.060847
1066608000,0.560365,0.712843,-0.152477
1066694400,0.447960,0.725613,-0.277653
1066780800,0.777938,0.738383,0.039555
1066867200,NaN,0.751153,NaN
1066953600,NaN,0.763923,NaN
1067040000,NaN,0.776693,NaN
1067126400,NaN,0.789463,NaN
1067212800,NaN,0.802234,NaN
1067299200,0.520969,0.815004,-0.294035
1067558400,NaN,0.853314,NaN
1067644800,NaN,0.866084,NaN
1067731200,NaN,0.878854,NaN
1067817600,0.444378,0.891625,-0.447247
1067904000,0.576392,0.904395,-0.328002
1067990400,NaN,0.917165,NaN
1068076800,NaN,0.929935,NaN
1068163200,NaN,0.942705,NaN
1068249600,NaN,0.955475,NaN
1068336000,0.345511,0.968245,-0.622734
1068422400,NaN,0.981015,NaN
1068508800,NaN,0.993786,NaN
1068595200,0.471683,1.006556,-0.534873
1068681600,NaN,1.019326,NaN
1068768000,0.247183,1.032096,-0.784913
1068940800,NaN,1.054155,NaN
1069027200,NaN,1.063444,NaN
1069113600,NaN,1.072732,NaN
1069200000,NaN,1.082021,NaN
1069286400,0.928036,1.091310,-0.163274
1069372800,NaN,1.100598,NaN
1069459200,NaN,1.109887,NaN
1069545600,NaN,1.119176,NaN
1069632000,1.990269,1.128465,0.861804
1069718400,NaN,1.137753,NaN
1069804800,NaN,1.147042,NaN
1069891200,NaN,1.156331,NaN
1069977600,1.904990,1.165619,0.739371
1070064000,NaN,1.174908,NaN
1070150400,NaN,1.184197,NaN
1070323200,0.950916,1.202774,-0.251858
1070409600,NaN,1.212063,NaN
1070496000,NaN,1.221352,NaN
1070582400,NaN,1.230641,NaN
1070668800,NaN,1.239929,NaN
1070755200,NaN,1.249218,NaN
1070841600,NaN,1.258507,NaN
1070928000,NaN,1.267795,NaN
1071014400,0.929601,1.277084,-0.347483
1071100800,0.919439,1.286373,-0.366934
1071187200,NaN,1.295662,NaN
1071273600,NaN,1.304950,NaN
1071360000,1.014640,1.314239,-0.299599
1071446400,1.014893,1.323528,-0.308635
1071532800,NaN,1.327450,NaN
1071619200,1.233382,1.331372,-0.097990
1071705600,1.231547,1.335294,-0.103747
1071792000,1.220011,1.339216,-0.119204
1071878400,1.119452,1.343138,-0.223686
1071964800,1.064976,1.347060,-0.282084
1072051200,0.738962,1.350982,-0.612020
1072137600,NaN,1.354904,NaN
1072224000,0.874319,1.358826,-0.484507
1072310400,NaN,1.362748,NaN
1072396800,0.667243,1.366670,-0.699427
1072483200,0.655805,1.370592,-0.714787
1072569600,0.569117,1.374514,-0.805397
1072656000,NaN,1.378436,NaN
1072742400,0.785570,1.382358,-0.596789
1072828800,NaN,1.386280,NaN
1072915200,NaN,1.390202,NaN
1073001600,NaN,1.394124,NaN
1073088000,NaN,1.398046,NaN
1073174400,NaN,1.401968,NaN
1073260800,NaN,1.405891,NaN
1073347200,NaN,1.409813,NaN
1073433600,NaN,1.413735,NaN
1073520000,NaN,1.417657,NaN
1073606400,NaN,1.421579,NaN
1073692800,0.937262,1.425501,-0.488239
1073779200,NaN,1.429423,NaN
1073865600,NaN,1.433345,NaN
1073952000,NaN,1.437267,NaN
1074038400,NaN,1.441189,NaN
1074124800,NaN,1.445111,NaN
1074211200,NaN,1.437768,NaN
1074297600,NaN,1.430425,NaN
1074384000,NaN,1.423082,NaN
1074470400,0.965158,1.415739,-0.450581
1074556800,0.707977,1.408396,-0.700419
1074643200,2.762822,1.401053,1.361769
1074729600,1.205995,1.393710,-0.187715
1074816000,NaN,1.386367,NaN
1074902400,NaN,1.379024,NaN
1074988800,NaN,1.371681,NaN
1075075200,NaN,1.364338,NaN
1075161600,1.703310,1.356995,0.346315
1075248000,1.139837,1.349652,-0.209815
1075334400,NaN,1.342309,NaN
1075420800,NaN,1.334966,NaN
1075507200,NaN,1.327623,NaN
1075593600,NaN,1.320280,NaN
1075680000,NaN,1.312937,NaN
1075766400,1.309114,1.305594,0.003520
1075852800,NaN,1.298251,NaN
1075939200,NaN,1.290908,NaN
1076025600,NaN,1.283565,NaN
1076112000,NaN,1.276222,NaN
1076198400,NaN,1.268879,NaN
1076284800,NaN,1.261536,NaN
1076371200,NaN,1.254193,NaN
1076457600,NaN,1.246850,NaN
1076544000,NaN,1.239507,NaN
1076630400,NaN,1.232164,NaN
1076716800,NaN,1.224821,NaN
1076803200,NaN,1.217478,NaN
1076889600,0.826882,1.218606,-0.391723
1076976000,NaN,1.219734,NaN
1077062400,0.669578,1.220862,-0.551284
1077148800,NaN,1.221990,NaN
1077235200,0.664809,1.223118,-0.558309
1077321600,0.676755,1.224247,-0.547491
1077408000,NaN,1.225375,NaN
1077494400,NaN,1.226503,NaN
1077580800,NaN,1.227631,NaN
1077667200,NaN,1.228759,NaN
1077753600,NaN,1.229887,NaN
1077840000,NaN,1.231016,NaN
1077926400,NaN,1.232144,NaN
1078012800,NaN,1.233272,NaN
1078099200,NaN,1.234400,NaN
1078185600,NaN,1.235528,NaN
1078272000,NaN,1.236656,NaN
1078358400,NaN,1.237785,NaN
1078444800,NaN,1.238913,NaN
1078531200,0.925126,1.240041,-0.314915
1078617600,NaN,1.241169,NaN
1078704000,0.705078,1.242297,-0.537219
1078790400,0.629510,1.243425,-0.613915
1078876800,0.609647,1.244554,-0.634907
1078963200,NaN,1.245682,NaN
1079049600,NaN,1.246810,NaN
1079136000,NaN,1.247938,NaN
1079222400,NaN,1.249066,NaN
1079308800,NaN,1.234421,NaN
1079395200,NaN,1.219777,NaN
1079481600,0.433317,1.205132,-0.771815
1079568000,NaN,1.190487,NaN
1079654400,NaN,1.175842,NaN
1079740800,0.408063,1.161198,-0.753135
1079827200,NaN,1.146553,NaN
1079913600,0.330062,1.131908,-0.801846
1080000000,0.352729,1.117263,-0.764534
1080086400,NaN,1.102619,NaN
1080172800,NaN,1.087974,NaN
1080259200,NaN,1.073329,NaN
1080345600,NaN,1.058684,NaN
1080432000,NaN,1.044040,NaN
1080518400,NaN,1.029395,NaN
1080604800,0.620285,1.014750,-0.394465
1080691200,0.567885,1.000105,-0.432221
1080777600,0.512559,0.985460,-0.472901
1080864000,NaN,0.970816,NaN
1080950400,0.386508,0.956171,-0.569663
1081036800,NaN,0.941526,NaN
1081123200,NaN,0.926881,NaN
1081209600,NaN,0.912237,NaN
1081296000,NaN,0.897592,NaN
1081382400,0.299063,0.882947,-0.583884
1081468800,0.316466,0.868302,-0.551837
1081555200,NaN,0.853658,NaN
1081641600,NaN,0.839013,NaN
1081728000,NaN,0.824368,NaN
1081814400,NaN,0.809723,NaN
1081900800,1.624642,0.795078,0.829563
1081987200,1.433884,0.785987,0.647896
1082073600,NaN,0.776896,NaN
1082160000,1.252292,0.767805,0.484486
1082246400,0.469366,0.758714,-0.289348
1082332800,0.840391,0.749623,0.090768
1082419200,NaN,0.740532,NaN
1082505600,NaN,0.731441,NaN
1082592000,NaN,0.722350,NaN
1082678400,NaN,0.713259,NaN
1082764800,NaN,0.704168,NaN
1082851200,NaN,0.695077,NaN
1082937600,NaN,0.685986,NaN
1083024000,NaN,0.676895,NaN
1083110400,NaN,0.667804,NaN
1083196800,NaN,0.658713,NaN
1083283200,NaN,0.649622,NaN
1083369600,NaN,0.640531,NaN
1083456000,NaN,0.631440,NaN
1083542400,0.296593,0.622349,-0.325756
1083628800,0.239944,0.613258,-0.373314
1083715200,NaN,0.604167,NaN
1083801600,NaN,0.595076,NaN
1083888000,NaN,0.585985,NaN
1083974400,NaN,0.576894,NaN
1084060800,0.195499,0.567803,-0.372303
1084147200,NaN,0.558711,NaN
1084233600,NaN,0.549620,NaN
1084320000,NaN,0.540529,NaN
1084406400,NaN,0.531438,NaN
1084492800,NaN,0.522347,NaN
1084579200,NaN,0.533315,NaN
1084665600,NaN,0.544283,NaN
1084752000,NaN,0.555250,NaN
1084838400,NaN,0.566218,NaN
1084924800,0.135581,0.577186,-0.441604
1085011200,0.147529,0.588153,-0.440624
1085097600,NaN,0.599121,NaN
1085184000,NaN,0.610088,NaN
1085270400,0.128768,0.621056,-0.492288
1085356800,NaN,0.632024,NaN
1085443200,0.177427,0.642991,-0.465564
1085529600,0.171084,0.653959,-0.482875
1085616000,NaN,0.664927,NaN
1085702400,NaN,0.675894,NaN
1085788800,NaN,0.686862,NaN
1085875200,NaN,0.697829,NaN
1085961600,NaN,0.708797,NaN
1086048000,0.172568,0.719765,-0.547196
1086134400,NaN,0.730732,NaN
1086220800,0.193069,0.741700,-0.548631
1086307200,NaN,0.752668,NaN
1086393600,NaN,0.763635,NaN
1086480000,NaN,0.774603,NaN
1086566400,NaN,0.785571,NaN
1086652800,NaN,0.796538,NaN
1086739200,NaN,0.807506,NaN
1086825600,NaN,0.818473,NaN
1086912000,NaN,0.829441,NaN
1086998400,NaN,0.840409,NaN
1087084800,NaN,0.851376,NaN
1087171200,NaN,0.862344,NaN
1087257600,NaN,0.877203,NaN
1087344000,NaN,0.892061,NaN
1087430400,NaN,0.906920,NaN
1087516800,0.302109,0.921778,-0.619670
1087603200,0.330815,0.936637,-0.605822
1087689600,NaN,0.951495,NaN
1087776000,NaN,0.966354,NaN
1087862400,NaN,0.981213,NaN
1087948800,NaN,0.996071,NaN
1088035200,NaN,1.010930,NaN
1088121600,NaN,1.025788,NaN
1088208000,NaN,1.040647,NaN
1088294400,NaN,1.055505,NaN
1088380800,NaN,1.070364,NaN
1088467200,NaN,1.085222,NaN
1088553600,NaN,1.100081,NaN
1088640000,NaN,1.114940,NaN
1088726400,NaN,1.129798,NaN
1088812800,NaN,1.144657,NaN
1088899200,0.869308,1.159515,-0.290207
1088985600,0.820078,1.174374,-0.354296
1089072000,0.534555,1.189232,-0.654678
1089158400,NaN,1.204091,NaN
1089244800,NaN,1.218950,NaN
1089331200,NaN,1.233808,NaN
1089417600,NaN,1.248667,NaN
1089504000,NaN,1.263525,NaN
1089590400,8.260482,1.278384,6.982098
1089676800,NaN,1.293242,NaN
1089763200,NaN,1.308101,NaN
1089849600,NaN,1.288479,NaN
1089936000,NaN,1.268857,NaN
1090022400,NaN,1.249236,NaN
1090108800,NaN,1.229614,NaN
1090195200,NaN,1.209992,NaN
1090281600,NaN,1.190370,NaN
1090368000,NaN,1.170749,NaN
1090454400,NaN,1.151127,NaN
1090540800,NaN,1.131505,NaN
1090627200,NaN,1.111884,NaN
1090713600,NaN,1.092262,NaN
1090800000,NaN,1.072640,NaN
1090886400,NaN,1.053018,NaN
1090972800,1.382004,1.033397,0.348608
1091059200,1.041278,1.013775,0.027503
1091145600,1.281815,0.994153,0.287662
1091232000,NaN,0.974531,NaN
1091318400,NaN,0.954910,NaN
1091404800,0.456867,0.935288,-0.478421
1091491200,NaN,0.915666,NaN
1091577600,0.756775,0.896044,-0.139270
1091664000,NaN,0.876423,NaN
1091750400,NaN,0.856801,NaN
1091836800,NaN,0.837179,NaN
1091923200,NaN,0.817558,NaN
1092009600,NaN,0.797936,NaN
1092096000,NaN,0.778314,NaN
1092182400,NaN,0.758692,NaN
